G003_01,G004_01,ZG01
65,NA,1
NA,78,2
NA,46,2
NA,NA,1
NA,NA,1
NA,NA,2
NA,NA,1
NA,62,2
64,NA,1
NA,13,2
83,NA,1
NA,18,2
NA,5,2
49,NA,1
NA,31,2
18,NA,1
NA,75,2
NA,75,2
67,NA,1
NA,53,2
-1,NA,1
NA,20,2
54,NA,1
55,NA,1
45,NA,1
NA,43,2
18,NA,1
47,NA,1
NA,23,2
48,NA,1
51,NA,1
NA,25,2
NA,66,2
37,NA,1
NA,47,2
NA,18,2
NA,4,2
79,NA,1
NA,8,2
63,NA,1
37,NA,1
NA,53,2
NA,19,2
59,NA,1
70,NA,1
NA,71,2
72,NA,1
NA,57,2
NA,40,2
NA,61,2
NA,69,2
101,NA,1
-9,NA,1
64,NA,1
24,NA,1
NA,17,2
NA,20,2
33,NA,1
NA,50,2
NA,81,2
101,NA,1
NA,17,2
NA,32,2
50,NA,1
71,NA,1
NA,44,2
NA,NA,1
NA,26,2
NA,NA,1
NA,34,2
29,NA,1
NA,NA,2
NA,NA,1
94,NA,1
NA,NA,2
78,NA,1
-9,NA,1
NA,-1,2
NA,18,2
-9,NA,1
-9,NA,1
NA,-9,2
14,NA,1
NA,NA,2
62,NA,1
NA,10,2
NA,-9,2
46,NA,1
NA,NA,2
12,NA,1
61,NA,1
1,NA,1
NA,60,2
NA,76,2
67,NA,1
48,NA,1
31,NA,1
69,NA,1
NA,37,2
69,NA,1
NA,101,2
NA,7,2
NA,16,2
NA,15,2
15,NA,1
NA,16,2
NA,36,2
66,NA,1
NA,45,2
NA,19,2
92,NA,1
NA,33,2
NA,19,2
53,NA,1
13,NA,1
NA,8,2
49,NA,1
NA,52,2
NA,17,2
NA,67,2
6,NA,1
7,NA,1
69,NA,1
NA,68,2
63,NA,1
7,NA,1
NA,13,2
78,NA,1
NA,71,2
NA,76,2
101,NA,1
83,NA,1
NA,39,2
73,NA,1
63,NA,1
67,NA,1
NA,75,2
61,NA,1
76,NA,1
NA,47,2
76,NA,1
82,NA,1
NA,78,2
68,NA,1
26,NA,1
NA,54,2
79,NA,1
59,NA,1
84,NA,1
NA,65,2
16,NA,1
NA,6,2
36,NA,1
59,NA,1
NA,32,2
NA,75,2
77,NA,1
NA,66,2
72,NA,1
71,NA,1
35,NA,1
NA,47,2
NA,55,2
NA,70,2
NA,27,2
NA,50,2
42,NA,1
NA,42,2
NA,19,2
NA,72,2
NA,74,2
NA,72,2
NA,25,2
NA,52,2
50,NA,1
NA,79,2
65,NA,1
71,NA,1
NA,80,2
72,NA,1
NA,86,2
21,NA,1
NA,NA,NA
NA,53,2
NA,NA,NA
57,NA,1
NA,52,2
66,NA,1
NA,71,2
NA,38,2
NA,51,2
1,NA,1
68,NA,1
NA,80,2
53,NA,1
NA,9,2
NA,55,2
NA,53,2
63,NA,1
20,NA,1
30,NA,1
47,NA,1
NA,71,2
NA,21,2
54,NA,1
NA,24,2
NA,70,2
66,NA,1
53,NA,1
NA,4,2
79,NA,1
81,NA,1
NA,22,2
64,NA,1
21,NA,1
NA,35,2
